word,score,count
좋다,0.28664380568499465,18
자다,0.2342555703224102,15
매우,0.20833357147687612,13
숙소,0.19872249079647905,10
전주,0.13958002065196679,7
쉬다,0.12389347331791709,6
객리,0.11807965148954348,5
편하다,0.11073768453846342,4
방문,0.1073467042701753,4
덕분,0.10322879713291647,4
매트리스,0.09875826603667351,4
깔끔하다,0.09800873570809945,3
시설,0.0887657738337417,3
해주다,0.08823163400968057,5
여행,0.08641152754626569,5
편리하다,0.08375400977460437,4
예쁘다,0.07937443221333143,3
되어다,0.07410217758241543,4
마을,0.07100708690872015,4
친절하다,0.06163337467860709,3
예약,0.06155847376235244,3
자쿠지,0.06143265346246202,3
